Time,Extension,Load
(s),(mm),(N)
0,0,0.4864
0.1,0.04912,0.49093
0.2,0.15389,0.48244
0.3,0.25456,0.48423
0.4,0.35444,0.48316
0.5,0.45469,0.48225
0.6,0.55452,0.48301
0.7,0.65455,0.48502
0.8,0.75474,0.48595
0.9,0.85438,0.48612
1,0.95464,0.49073
1.1,1.0545,0.49014
1.2,1.15457,0.48901
1.3,1.25463,0.4951
1.4,1.35441,0.4942
1.5,1.45469,0.49022
1.6,1.55446,0.49863
1.7,1.65467,0.49767
1.8,1.75452,0.49609
1.9,1.8545,0.5008
2,1.95471,0.50173
2.1,2.05437,0.50044
2.2,2.15467,0.50873
2.3,2.25446,0.51023
2.4,2.35455,0.50419
2.5,2.45462,0.50669
2.6,2.55448,0.51186
2.7,2.65465,0.50777
2.8,2.75443,0.50801
2.9,2.85464,0.51448
3,2.95464,0.51392
3.1,3.05447,0.51596
3.2,3.15474,0.52324
3.3,3.25445,0.52588
3.4,3.35472,0.52607
3.5,3.45441,0.5317
3.6,3.55452,0.53713
3.7,3.65479,0.53724
3.8,3.75437,0.54346
3.9,3.85466,0.54998
4,3.95448,0.55652
4.1,4.05455,0.56144
4.2,4.15458,0.5652
4.3,4.25446,0.57255
4.4,4.35467,0.57578
4.5,4.45442,0.58194
4.6,4.55459,0.59197
4.7,4.65457,0.59165
4.8,4.7544,0.59722
4.9,4.85467,0.60271
5,4.95438,0.60993
5.1,5.05469,0.61146
5.2,5.15452,0.61011
5.3,5.25448,0.61331
5.4,5.35465,0.61431
5.5,5.45445,0.62003
5.6,5.55464,0.62814
5.7,5.65442,0.63088
5.8,5.75466,0.63492
5.9,5.85457,0.64404
6,5.95447,0.65484
6.1,6.05475,0.65822
6.2,6.15439,0.66639
6.3,6.25462,0.67616
6.4,6.35454,0.68463
6.5,6.45448,0.6914
6.6,6.55456,0.69986
6.7,6.6544,0.71131
6.8,6.75467,0.71755
6.9,6.85436,0.73111
7,6.95466,0.74047
7.1,7.05468,0.74757
7.2,7.15444,0.76323
7.3,7.25477,0.77256
7.4,7.35436,0.78029
7.5,7.45464,0.79162
7.6,7.55448,0.80534
7.7,7.65446,0.81393
7.8,7.75471,0.82533
7.9,7.85449,0.83771
8,7.95471,0.84815
8.1,8.05443,0.86074
8.2,8.15451,0.87279
8.3,8.25469,0.88728
8.4,8.35446,0.89965
8.5,8.45473,0.91171
8.6,8.55447,0.92376
8.7,8.65466,0.94079
8.8,8.75451,0.95546
8.9,8.85445,0.96799
9,8.95475,0.98374
9.1,9.05439,0.99639
9.2,9.15472,1.01108
9.3,9.25446,1.03005
9.4,9.35448,1.04611
9.5,9.45466,1.06444
9.6,9.55439,1.08605
9.7,9.6547,1.10904
9.8,9.75443,1.12832
9.9,9.85459,1.15213
10,9.95457,1.17653
10.1,10.05441,1.20072
10.2,10.15482,1.227
10.3,10.25436,1.25953
10.4,10.35471,1.29132
10.5,10.4545,1.32404
10.6,10.55457,1.36294
10.7,10.65459,1.39872
10.8,10.75433,1.43494
10.9,10.8547,1.47848
11,10.9543,1.51791
11.1,11.05461,1.55906
11.2,11.15473,1.59996
11.3,11.2545,1.64538
11.4,11.35473,1.69452
11.5,11.45435,1.73936
11.6,11.55464,1.78863
11.7,11.65447,1.84254
11.8,11.75447,1.89252
11.9,11.85466,1.94671
12,11.95452,1.99972
12.1,12.05463,2.05683
12.2,12.15443,2.11061
12.3,12.25452,2.16914
12.4,12.35458,2.2258
12.5,12.45447,2.27988
12.6,12.55482,2.33938
12.7,12.65444,2.39782
12.8,12.75465,2.46007
12.9,12.85458,2.52287
13,12.95442,2.58356
13.1,13.05468,2.64605
13.2,13.15437,2.71019
13.3,13.25477,2.7704
13.4,13.35452,2.83106
13.5,13.45449,2.89524
13.6,13.55466,2.96066
13.7,13.65441,3.02214
13.8,13.75476,3.08355
13.9,13.85447,3.13994
14,13.9547,3.18666
14.1,14.05455,3.21871
14.2,14.15444,3.27279
14.3,14.25476,3.32626
14.4,14.35429,3.37666
14.5,14.45461,3.42774
14.6,14.55459,3.4696
14.7,14.65459,3.5025
14.8,14.75465,3.54231
14.9,14.85447,3.55365
15,14.95464,3.5559
15.1,15.05444,3.57874
15.2,15.15462,3.56167
15.3,15.25459,3.58198
15.4,15.35445,3.63066
15.5,15.45469,3.69166
15.6,15.55442,3.74658
15.7,15.65451,3.78763
15.8,15.75453,3.79399
15.9,15.85449,3.81896
16,15.95466,3.84672
16.1,16.05439,3.85469
16.2,16.15463,3.87475
16.3,16.25437,3.91199
16.4,16.35456,3.93946
16.5,16.45462,3.94136
16.6,16.55441,3.49367
16.7,16.65483,3.4547
16.8,16.75437,3.47801
16.9,16.85464,3.43877
17,16.95459,3.07065
17.1,17.05443,2.77089
17.165,17.11944,1.50204
17.265,17.21945,0.48546